,evolutionary_age,gene_dnds,gene_essentiality,gene_haplo,number_of_chem_interaction_action,number_of_chem_interaction,number_of_chem,number_of_pathway,number_of_phenotype,number_of_rare_disease,number_of_total_disease,phylogenetic_number
234,910.0,0.13668891561102425,1.0,,4,22,22,0,327,6.0,12.0,1.0
235,361.2,,,,13,41,39,0,76,2.0,2.0,1.0
236,,,,,10,27,24,18,0,2.0,3.0,
237,910.0,0.23808236361029694,0.0,0.506,9,34,26,1,215,36.0,41.0,1.0
238,910.0,0.1320703472466281,0.0,0.705,11,24,25,20,316,89.0,116.0,7.0
239,97.4,0.2937526827290617,1.0,,4,17,15,0,0,2.0,2.0,1.0
240,910.0,0.276950576266281,0.0,0.6970000000000001,7,21,21,10,0,12.0,17.0,3.0
241,910.0,0.09764925236407453,1.0,0.621,8,23,20,0,0,1.0,2.0,2.0
242,454.6,0.14440427190554586,0.0,0.383,9,48,46,5,169,10.0,16.0,1.0
243,324.5,0.43265495882801097,0.0,0.363,5,10,8,1,0,3.0,6.0,1.0
244,1368.0,0.15102180067989987,,0.586,7,16,17,7,250,14.0,16.0,1.0
245,797.0,0.17924685584109354,0.0,0.253,7,15,12,2,116,31.0,33.0,3.0
246,176.1,0.10564404896354758,1.0,0.222,6,20,17,6,306,17.0,18.0,1.0
247,,,1.0,,7,27,26,4,76,16.0,20.0,
248,842.0,0.2948326021955158,1.0,0.695,5,25,24,0,89,1.0,2.0,2.0
249,454.6,,1.0,,7,16,14,3,135,8.0,14.0,3.0
250,1368.0,0.19489425838095947,1.0,0.984,35,204,140,27,185,38.0,54.0,1.0
251,910.0,0.05124627621350292,1.0,0.939,16,70,54,162,98,27.0,36.0,3.0
252,842.0,0.13196212831988485,0.0,0.073,5,22,24,9,216,21.0,22.0,1.0
253,454.6,0.3300168693127651,1.0,0.473,32,104,61,15,163,13.0,19.0,1.0
254,910.0,0.20297933018778586,0.0,0.28,12,21,21,26,216,39.0,44.0,1.0
255,797.0,0.10459468045885896,1.0,0.171,26,218,129,9,203,34.0,50.0,12.0
256,910.0,0.1609277497241493,1.0,0.328,8,29,26,8,311,85.0,119.0,4.0
257,910.0,0.20297933018778586,0.0,0.28,12,21,21,26,216,39.0,44.0,1.0
258,4200.0,0.3049250722839719,1.0,0.257,5,15,14,1,182,5.0,8.0,2.0
259,1628.0,0.19753731921025133,1.0,0.768,7,16,15,7,100,8.0,10.0,1.0
260,1628.0,0.08541972190385087,1.0,0.618,5,24,23,11,105,7.0,8.0,1.0
261,910.0,0.11351607154141423,0.0,0.475,8,22,20,58,87,32.0,35.0,7.0
262,910.0,0.07139721115660773,0.0,0.813,21,71,61,16,790,59.0,123.0,3.0
263,361.2,,,,13,41,39,0,76,2.0,2.0,1.0
264,1628.0,0.2032325567063176,0.0,0.748,73,306,163,26,217,55.0,94.0,12.0
265,176.1,0.1928160569229382,1.0,0.344,6,13,10,0,0,7.0,8.0,1.0
266,842.0,0.06933437990061103,1.0,0.948,20,103,84,8,0,15.0,16.0,1.0
267,842.0,0.4266642151696329,0.0,0.26,4,22,20,3,118,38.0,53.0,1.0
268,454.6,0.09130752194798984,0.0,0.495,13,54,41,0,480,75.0,105.0,1.0
269,1368.0,0.07900371009790581,0.0,0.882,8,14,10,8,58,12.0,18.0,14.0
270,1628.0,0.23052256707302324,1.0,,7,30,23,0,0,9.0,10.0,4.0
271,,,1.0,,7,27,26,4,76,16.0,20.0,
272,4200.0,0.07484015493281643,1.0,0.619,4,8,6,20,572,25.0,31.0,2.0
273,454.6,0.20001292595855816,1.0,,6,18,18,0,0,0.0,0.0,1.0
274,454.6,0.12483030810363295,0.0,0.7240000000000001,6,21,18,0,174,11.0,20.0,2.0
275,324.5,,,,3,5,5,3,0,1.0,3.0,1.0
276,220.2,0.29439253962704925,0.0,0.238,25,58,34,37,262,58.0,89.0,1.0
277,176.1,,,,5,16,15,5,90,6.0,12.0,1.0
278,910.0,0.1260188500135898,0.0,0.887,11,46,46,23,386,33.0,50.0,4.0
279,0.0,0.4794859475379217,0.0,0.214,15,40,31,10,7,20.0,72.0,1.0
280,910.0,0.35374974143984084,0.0,0.136,7,25,25,6,0,6.0,9.0,1.0
281,,,,0.535,3,12,12,7,0,5.0,6.0,
282,842.0,0.2325598369748761,0.0,0.623,8,57,49,18,415,36.0,52.0,2.0
283,1628.0,0.09755788381159963,1.0,,6,14,14,3,0,4.0,4.0,1.0
284,910.0,0.16551832303158814,0.0,0.741,7,27,26,0,152,18.0,23.0,1.0
285,842.0,0.08509162678542098,0.0,,5,15,16,0,0,3.0,3.0,3.0
286,91.0,0.2885236650121451,0.0,0.412,6,22,22,4,0,1.0,1.0,1.0
287,797.0,,1.0,0.418,10,56,44,18,88,20.0,29.0,1.0
288,910.0,0.2124437470924354,0.0,0.493,11,45,38,8,280,93.0,119.0,3.0
289,797.0,0.3255743074978543,1.0,0.326,8,50,49,25,382,18.0,20.0,1.0
290,361.2,0.24835088547362025,0.0,0.217,10,31,31,6,202,18.0,26.0,1.0
291,1628.0,0.047740736130975785,1.0,0.955,54,232,140,155,375,46.0,64.0,2.0
292,,,,,7,31,32,8,85,11.0,12.0,
293,1628.0,0.011936607905066234,1.0,0.983,7,20,20,14,0,0.0,0.0,1.0
294,797.0,0.3441759603335886,1.0,0.234,6,14,12,6,0,3.0,6.0,1.0
295,324.5,0.5344163804808754,1.0,0.146,7,26,27,13,417,25.0,31.0,2.0
